munisid,muni_name,autonomia,province,adj_impact,gdppc,religious,c_secondplus,trust2,log_pop,age,class_upper,civil_married,longitude,latitude,dist_river,dist_sea
4853,Camuñas,7,45,0.016233766451478004,18139.24609375,NA,0.3747999966144562,NA,7.518064022064209,NA,NA,NA,-3.4788308143615723,39.399662017822266,36.128440856933594,349.93231201171875
4854,Cardiel de los Montes,7,45,0.006493506487458944,19333.177734375,NA,0.3463999927043915,NA,5.961005210876465,NA,NA,NA,-4.641322612762451,40.06782150268555,15.480420112609863,464.3444519042969
4855,Masllorenç,9,43,0.008474576286971569,21194.251953125,NA,0.8830000162124634,NA,6.251904010772705,NA,NA,NA,1.4297642707824707,41.26340103149414,88.99613952636719,14.989347457885742
4856,Carmena,7,45,0.006493506487458944,19085.705078125,NA,0.40880000591278076,NA,6.672032833099365,NA,NA,NA,-4.398838520050049,39.928836822509766,11.34910774230957,451.1530456542969
4857,Sant Esteve de Palautordera,9,8,0,22807.46875,NA,0.7250000238418579,NA,7.836764812469482,NA,NA,NA,2.42128849029541,41.71411895751953,214.95504760742188,24.691667556762695
4858,"Carpio de Tajo, El",7,45,0.006493506487458944,17005.0625,NA,0.4008999764919281,NA,7.638198375701904,NA,NA,NA,-4.491527080535889,39.845584869384766,1.6047568321228027,440.12310791015625
4859,Carranque,7,45,0.003246753243729472,21602.16796875,1.8235293626785278,0.6743000149726868,NA,8.437933921813965,44.29411697387695,0,0.5555555820465088,-3.925182580947876,40.17677688598633,33.84783935546875,412.6776428222656
4860,"Casar de Escalona, El",7,45,0.006493506487458944,19103.736328125,2.4000000953674316,0.3920000195503235,NA,7.61923360824585,52.599998474121094,NA,NA,-4.531152248382568,40.05175018310547,18.84885025024414,470.239013671875
4861,Casarrubios del Monte,7,45,0.04545454680919647,20149.140625,0.5,0.5515000224113464,NA,8.585598945617676,44.625,NA,NA,-4.05180549621582,40.2002067565918,43.59457778930664,427.17779541015625
4862,Casasbuenas,7,45,0.003246753243729472,19807.56640625,NA,0.37860000133514404,NA,5.342334270477295,NA,NA,NA,-4.107865810394287,39.76597595214844,14.464155197143555,422.6152038574219
4863,Sant Hipòlit de Voltregà,9,8,0.008474576286971569,25101.875,1.3333333730697632,0.5742999911308289,NA,8.14496898651123,48.44444274902344,0.1111111119389534,0.6666666865348816,2.2378411293029785,42.015655517578125,218.61094665527344,73.94731140136719
